Subject	Block	Begin	End	Length	Total
018	fix2m	1480	1654	174	
018	fix2m	1772	1946	173	
018	fix2m	2044	2218	173	
018	fix2m	2355	2531	176	
018	fix2m	2855	3031	175	5
051	eig5m	1676	2031	354	
051	eig5m	2095	2447	352	
051	eig5m	3302	3654	352	
051	eig5m	3710	4063	352	
051	eig5m	4740	5093	352	5
021	fix2m	1616	1791	174	
021	fix2m	1968	2141	173	
021	fix2m	2211	2385	173	
021	fix2m	2801	2974	173	
021	fix2m	3034	3208	173	5
044	eig2m	2496	2671	174	
044	eig2m	2848	3022	174	
044	eig2m	3086	3261	174	
044	eig2m	3338	3512	174	
044	eig2m	3617	3791	174	5
022	eig5m	1171	1526	354	
022	eig5m	1645	2001	356	
022	eig5m	2062	2418	355	
022	eig5m	2500	2854	354	
022	eig5m	3217	3571	354	5
007	fix2m	768	944	175	
007	fix2m	1029	1204	175	
007	fix2m	1234	1412	177	
007	fix2m	1446	1622	176	
007	fix2m	1648	1824	175	5
046	fix2m	645	821	175	
046	fix2m	985	1161	175	
046	fix2m	1227	1401	174	
046	fix2m	1466	1641	174	
046	fix2m	1768	1942	173	5
033	fix5m	1607	1961	354	
033	fix5m	2027	2381	354	
033	fix5m	2530	2884	354	
033	fix5m	3083	3437	353	
033	fix5m	3508	3862	353	5
050	eig2m	686	861	174	
050	eig2m	910	1085	175	
050	eig2m	1163	1337	173	
050	eig2m	1412	1586	173	
050	eig2m	1783	1957	173	5
015	eig30s	2138	2222	83	
015	eig30s	2385	2471	85	
015	eig30s	2662	2746	83	
015	eig30s	3268	3351	83	
015	eig30s	3845	3932	86	5
053	fix30s	1061	1145	84	
053	fix30s	1262	1346	83	
053	fix30s	1865	1951	85	
053	fix30s	2040	2124	84	
053	fix30s	2250	2336	86	5
050	eig5m	653	1007	354	
050	eig5m	1068	1422	354	
050	eig5m	1487	1842	354	
050	eig5m	1910	2264	354	
050	eig5m	2335	2691	356	5
037	fix2m	1585	1761	175	
037	fix2m	1862	2036	173	
037	fix2m	4227	4401	173	3
018	eig5m	1572	1926	353	
018	eig5m	2115	2471	356	
018	eig5m	2805	3158	353	
018	eig5m	3409	3762	353	
018	eig5m	4048	4402	353	5
015	eig5m	810	1162	352	
015	eig5m	1322	1675	352	
015	eig5m	1727	1961	233	
015	eig5m	2026	2381	354	
015	eig5m	2473	2826	352	5
