Subject	Block	Begin	End	Length	Total
018	fix2m	1480	1644	164	
018	fix2m	1772	1936	163	
018	fix2m	2044	2208	163	
018	fix2m	2355	2521	166	
018	fix2m	2855	3021	165	5
051	eig5m	1676	2021	344	
051	eig5m	2095	2437	342	
051	eig5m	3302	3644	342	
051	eig5m	3710	4053	342	
051	eig5m	4740	5083	342	5
021	fix2m	1616	1781	164	
021	fix2m	1968	2131	163	
021	fix2m	2211	2375	163	
021	fix2m	2801	2964	163	
021	fix2m	3034	3198	163	5
044	eig2m	2496	2661	164	
044	eig2m	2848	3012	164	
044	eig2m	3086	3251	164	
044	eig2m	3338	3502	164	
044	eig2m	3617	3781	164	5
022	eig5m	1171	1516	344	
022	eig5m	1645	1991	346	
022	eig5m	2062	2408	345	
022	eig5m	2500	2844	344	
022	eig5m	3217	3561	344	5
007	fix2m	768	934	165	
007	fix2m	1029	1194	165	
007	fix2m	1234	1402	167	
007	fix2m	1446	1612	166	
007	fix2m	1648	1814	165	5
046	fix2m	645	811	165	
046	fix2m	985	1151	165	
046	fix2m	1227	1391	164	
046	fix2m	1466	1631	164	
046	fix2m	1768	1932	163	5
033	fix5m	1607	1951	344	
033	fix5m	2027	2371	344	
033	fix5m	2530	2874	344	
033	fix5m	3083	3427	343	
033	fix5m	3508	3852	343	5
050	eig2m	686	851	164	
050	eig2m	910	1075	165	
050	eig2m	1163	1327	163	
050	eig2m	1412	1576	163	
050	eig2m	1783	1947	163	5
015	eig30s	2138	2212	73	
015	eig30s	2385	2461	75	
015	eig30s	2662	2736	73	
015	eig30s	3268	3341	73	
015	eig30s	3845	3922	76	5
053	fix30s	1061	1135	74	
053	fix30s	1262	1336	73	
053	fix30s	1865	1941	75	
053	fix30s	2040	2114	74	
053	fix30s	2250	2326	76	5
050	eig5m	653	997	344	
050	eig5m	1068	1412	344	
050	eig5m	1487	1832	344	
050	eig5m	1910	2254	344	
050	eig5m	2335	2681	346	5
037	fix2m	1585	1751	165	
037	fix2m	1862	2026	163	
037	fix2m	4227	4391	163	3
018	eig5m	1572	1916	343	
018	eig5m	2115	2461	346	
018	eig5m	2805	3148	343	
018	eig5m	3409	3752	343	
018	eig5m	4048	4392	343	5
015	eig5m	810	1152	342	
015	eig5m	1322	1665	342	
015	eig5m	1727	1951	223	
015	eig5m	2026	2371	344	
015	eig5m	2473	2816	342	5
024	fix30s	1996	2071	75	
024	fix30s	2141	2215	73	
024	fix30s	2303	2376	73	
024	fix30s	2781	2855	73	
024	fix30s	4623	4697	73	5
007	eig30s	585	661	75	
007	eig30s	712	785	73	
007	eig30s	853	927	73	
007	eig30s	956	1031	74	
007	eig30s	1128	1201	73	5
021	eig30s	1078	1154	75	
021	eig30s	1230	1305	75	
021	eig30s	1482	1561	79	
021	eig30s	1690	1766	76	
021	eig30s	1835	1912	76	5
028	fix2m	884	1048	163	
028	fix2m	1317	1481	163	
028	fix2m	1605	1771	166	
028	fix2m	1837	2001	163	
028	fix2m	2152	2316	163	5
016	eig30s	1001	1077	75	
016	eig30s	1220	1296	75	
016	eig30s	1448	1523	74	
016	eig30s	1680	1756	75	
016	eig30s	1890	1966	76	5
048	eig30s	2387	2461	73	
048	eig30s	2535	2607	72	
048	eig30s	2678	2751	73	
048	eig30s	3050	3122	72	
048	eig30s	3204	3277	72	5
017	eig5m	503	846	343	
017	eig5m	925	1268	343	
017	eig5m	1366	1711	344	
017	eig5m	1805	2148	343	
017	eig5m	2226	2571	344	5
050	fix5m	593	941	348	
050	fix5m	1016	1361	344	
050	fix5m	1438	1782	343	
050	fix5m	1856	2201	344	
050	fix5m	2285	2631	346	5
025	fix30s	610	685	75	
025	fix30s	780	854	74	
025	fix30s	944	1018	74	
025	fix30s	1122	1196	74	
025	fix30s	1281	1356	74	
025	fix30s	5477	5548	71	6
045	fix2m	733	896	163	
045	fix2m	973	1137	163	
045	fix2m	1205	1368	163	
045	fix2m	1477	1641	163	
045	fix2m	1726	1891	164	5
017	fix5m	406	751	344	
017	fix5m	813	1157	343	
017	fix5m	1333	1676	343	
017	fix5m	1810	2153	343	
017	fix5m	2352	2695	343	5
018	eig30s	1106	1181	74	
018	eig30s	1332	1405	72	
018	eig30s	1582	1655	72	
018	eig30s	2283	2356	72	
018	eig30s	2600	2673	72	5
027	fix2m	1528	1691	163	
027	fix2m	1762	1925	162	
027	fix2m	1997	2161	163	
027	fix2m	2226	2391	164	
027	fix2m	2480	2643	162	5
006	eig5m	852	1194	342	
006	eig5m	1242	1585	342	
006	eig5m	1622	1965	342	
006	eig5m	2065	2411	345	
006	eig5m	2444	2787	342	5
013	eig5m	1213	1556	343	
013	eig5m	1671	2014	343	
013	eig5m	2108	2451	343	
013	eig5m	2614	2958	343	
013	eig5m	3048	3391	343	5
005	eig30s	873	947	74	
005	eig30s	1094	1171	76	
005	eig30s	1225	1302	77	
005	eig30s	1376	1451	75	
005	eig30s	1646	1721	74	5
013	fix30s	1324	1401	77	
013	fix30s	1441	1517	75	
013	fix30s	1547	1621	73	
013	fix30s	1663	1738	75	
013	fix30s	1803	1881	77	5
018	fix30s	1233	1308	74	
018	fix30s	1454	1527	73	
018	fix30s	1661	1736	74	
018	fix30s	1816	1891	75	
018	fix30s	1983	2057	73	
018	fix30s	5467	5535	67	6
026	eig30s	770	843	73	
026	eig30s	2792	2866	73	
026	eig30s	5031	5105	73	
026	eig30s	5161	5235	73	4
033	fix2m	620	783	162	
033	fix2m	936	1101	164	
033	fix2m	1186	1351	164	
033	fix2m	1420	1583	162	
033	fix2m	1670	1832	162	5
007	fix5m	490	834	344	
007	fix5m	870	1215	344	
007	fix5m	1265	1612	346	
007	fix5m	1756	2102	345	
